id,nombre,imagen,precio_aproximado,url_externa,tipo,rango_temperatura_min,rango_temperatura_max,lluvia,viento,genero,marca
"hh-001","Helly Hansen Seven J Jacket","https://m.media-amazon.com/images/I/71m0Tt1yMZL._AC_SY879_.jpg",64,"https://www.amazon.es/s?k=Helly+Hansen+Seven+J+Jacket","chaqueta",0,15,true,true,"unisex","Helly Hansen"
"hh-002","Helly Hansen Dubliner Jacket","https://hellyhansen.com/media/catalog/product/d/u/dubliner-jacket-black.jpg",90,"https://www.amazon.es/s?k=Helly+Hansen+Dubliner+Jacket","chaqueta",-5,10,true,true,"hombre","Helly Hansen"
"hh-003","Helly Hansen Crew Fleece Jacket","https://hellyhansen.com/media/catalog/product/c/r/crew-fleece-jacket.jpg",90,"https://www.amazon.es/s?k=Helly+Hansen+Crew+Fleece+Jacket","polar",5,15,false,true,"hombre","Helly Hansen"
"hh-004","Helly Hansen Lifaloft Insulated Jacket","https://hellyhansen.com/media/catalog/product/l/i/lifaloft-insulated-jacket.jpg",200,"https://www.amazon.es/s?k=Helly+Hansen+Lifaloft+Jacket","chaqueta",-10,10,true,true,"hombre","Helly Hansen"
"tnf-001","The North Face Nuptse Jacket","https://thenorthface.com/images/nuptse-jacket-black.jpg",320,"https://www.amazon.es/s?k=The+North+Face+Nuptse+Jacket","chaqueta_plumas",-15,5,false,true,"unisex","The North Face"
"tnf-002","The North Face Camiseta Simple Dome","https://thenorthface.com/images/simple-dome-tee.jpg",30,"https://www.amazon.es/s?k=The+North+Face+Simple+Dome+Camiseta","camiseta",15,35,false,false,"unisex","The North Face"
"tnf-003","The North Face PantalÃ³n Exploration","https://thenorthface.com/images/exploration-pant.jpg",75,"https://www.amazon.es/s?k=The+North+Face+Exploration+Pant","pantalon",10,25,true,true,"hombre","The North Face"
"tnf-004","The North Face Resolve Jacket","https://thenorthface.com/images/resolve-jacket.jpg",85,"https://www.amazon.es/s?k=The+North+Face+Resolve+Jacket","chaqueta_impermeable",5,20,true,true,"unisex","The North Face"
"nike-001","Nike Dri-FIT Camiseta Running","https://static.nike.com/images/dri-fit-running-tee.jpg",30,"https://www.amazon.es/s?k=Nike+Dri-FIT+Camiseta+Running","camiseta",15,35,false,false,"unisex","Nike"
"nike-002","Nike Air Max 90","https://static.nike.com/images/air-max-90.jpg",140,"https://www.amazon.es/s?k=Nike+Air+Max+90","zapatillas",-5,30,false,false,"unisex","Nike"
"nike-003","Nike Sportswear Club Fleece Sudadera","https://static.nike.com/images/club-fleece-hoodie.jpg",55,"https://www.amazon.es/s?k=Nike+Sportswear+Club+Fleece+Sudadera","sudadera",5,20,false,true,"unisex","Nike"
"nike-004","Nike PantalÃ³n Corto Dri-FIT","https://static.nike.com/images/dri-fit-shorts.jpg",30,"https://www.amazon.es/s?k=Nike+Pantalon+Corto+Dri-FIT","pantalon_corto",20,40,false,false,"unisex","Nike"
"levis-001","Levi's 501 Original Fit Jeans","https://levi.com/images/501-original-fit.jpg",100,"https://www.amazon.es/s?k=Levi%27s+501+Original+Fit","vaqueros",5,25,false,false,"hombre","Levi's"
"levis-002","Levi's 511 Slim Fit Jeans","https://levi.com/images/511-slim-fit.jpg",65,"https://www.amazon.es/s?k=Levi%27s+511+Slim+Fit","vaqueros",5,25,false,false,"hombre","Levi's"
"levis-003","Levi's Original Trucker Jacket","https://levi.com/images/trucker-jacket.jpg",90,"https://www.amazon.es/s?k=Levi%27s+Trucker+Jacket","chaqueta_vaquera",10,20,false,true,"hombre","Levi's"
"levis-004","Levi's Camiseta Logo","https://levi.com/images/logo-tee.jpg",25,"https://www.amazon.es/s?k=Levi%27s+Camiseta+Logo","camiseta",15,35,false,false,"unisex","Levi's"
"adidas-001","Adidas Superstar","https://adidas.com/images/superstar-white.jpg",100,"https://www.amazon.es/s?k=Adidas+Superstar","zapatillas",0,30,false,false,"unisex","Adidas"
"adidas-002","Adidas Essentials 3-Stripes Camiseta","https://adidas.com/images/essentials-tee.jpg",20,"https://www.amazon.es/s?k=Adidas+Essentials+3-Stripes+Camiseta","camiseta",15,35,false,false,"unisex","Adidas"
"adidas-003","Adidas Tiro PantalÃ³n Entrenamiento","https://adidas.com/images/tiro-track-pants.jpg",40,"https://www.amazon.es/s?k=Adidas+Tiro+Pantalon","pantalon_deportivo",5,20,false,true,"unisex","Adidas"
"adidas-004","Adidas Terrex Chaqueta","https://adidas.com/images/terrex-jacket.jpg",80,"https://www.amazon.es/s?k=Adidas+Terrex+Chaqueta","chaqueta",5,15,false,true,"unisex","Adidas"
